filename,row_index_in_image,nickname,server,score,note,combat_power
스크린샷 2026-04-22 121353.png,1,눈마새,Scania 39,4010만 2983,,20경 2819조 2316억 6310만
스크린샷 2026-04-22 121353.png,2,나라볼곰,Scania 26,3957만 7497,전투력 미확인,
스크린샷 2026-04-22 121353.png,3,새뤽,Scania 28,3165만 723,전투력 미확인,
스크린샷 2026-04-22 121353.png,4,라온A,Scania 33,3003만 8835,,9경 5763조 8947억 4639만
스크린샷 2026-04-22 121353.png,5,신규짱,Scania 28,2949만 3270,전투력 미확인,
스크린샷 2026-04-22 121402.png,1,현수우우,Scania 29,2904만 3642,전투력 미확인,
스크린샷 2026-04-22 121402.png,2,뽀짝,Scania 27,2737만 3875,서버 불일치(페이지:Scania 1),6573억 4300만
스크린샷 2026-04-22 121402.png,3,홀리몰리2,Scania 30,2609만 5713,,11경 6699조 2914억 8374만
스크린샷 2026-04-22 121402.png,4,쇼미밍,Scania 18,2540만 3664,전투력 미확인,
스크린샷 2026-04-22 121402.png,5,샛둥이,Scania 26,2536만 92,전투력 미확인,
스크린샷 2026-04-22 121410.png,1,라온W,Scania 28,2533만 2513,,13경 8043조 251억 8185만
스크린샷 2026-04-22 121410.png,2,도도죈,Scania 27,2518만 4922,전투력 미확인,
스크린샷 2026-04-22 121410.png,3,나라오리,Scania 26,2517만 6,전투력 미확인,
스크린샷 2026-04-22 121410.png,4,정둥2,Scania 27,2496만 2238,,8681조 4566억 5818만
스크린샷 2026-04-22 121410.png,5,일렉트로닉진,Scania 27,2403만 6609,,4경 4520조 7816억 1309만
스크린샷 2026-04-22 121421.png,1,무치z,Scania 28,2261만 5263,,1경 3975조 3702억 544만
스크린샷 2026-04-22 121421.png,2,애바이,Scania 12,2251만 6008,전투력 미확인,
스크린샷 2026-04-22 121421.png,3,서리퐁하나,Scania 19,2236만 2363,전투력 미확인,
스크린샷 2026-04-22 121421.png,4,다쎄,Scania 12,2231만 7639,서버 불일치(페이지:Scania 26),222억 7781만
스크린샷 2026-04-22 121421.png,5,아몬드동룽,Scania 4,2193만 5661,전투력 미확인,
스크린샷 2026-04-22 121430.png,1,깡깡,Scania 27,2190만 1053,서버 불일치(페이지:Scania 2),2만 2690 2만
스크린샷 2026-04-22 121430.png,2,간언,Scania 26,2185만 7445,,1991조 4405억 89만
스크린샷 2026-04-22 121430.png,3,싸땅,Scania 27,2140만 8420,전투력 미확인,
스크린샷 2026-04-22 121430.png,4,마늘길원구함,Scania 4,2139만 1035,,13경 221조 4331억 6202만
스크린샷 2026-04-22 121430.png,5,칠룽이야,Scania 27,2125만 6668,전투력 미확인,
스크린샷 2026-04-22 121437.png,1,사산,Scania 27,2120만 3250,서버 불일치(페이지:Scania 5),2억 7254만
스크린샷 2026-04-22 121437.png,2,그루핑,Scania 18,2107만 3410,,3경 443조 1470억 1055만
스크린샷 2026-04-22 121437.png,3,웃소메,Scania 1,2094만 7641,전투력 미확인,
스크린샷 2026-04-22 121437.png,4,사랑의꿈,Scania 5,2069만 3994,전투력 미확인,
스크린샷 2026-04-22 121437.png,5,홍팀장,Scania 1,2063만 8833,,1399조 2364억 1527만
스크린샷 2026-04-22 121446.png,1,또띠,Scania 5,2042만 9025,서버 불일치(페이지:Scania 1),3만 5187 3만
스크린샷 2026-04-22 121446.png,2,연쯔,Scania 27,2037만 6291,전투력 미확인,
